time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
4123100,36.01251116666666,129.31925216666664,58.79246248650047,12.335164643113607,0.7000000000000001,328.0,0.0,1.33203125,-0.6171875,-1.2265625,0.1953125,0.1328125,0.3125,0.703125,-9.40234375,1.640625
4123101,,,,,,,,1.22265625,-0.69140625,-1.2421875,0.18359375,0.123046875,0.3359375,0.85546875,-9.97265625,1.3359375
4123102,,,,,,,,1.29296875,-0.9296875,-1.14453125,0.162109375,0.1328125,0.349609375,0.89453125,-10.20703125,1.44921875
4123103,,,,,,,,1.41015625,-1.08984375,-1.19140625,0.15234375,0.16796875,0.349609375,0.97265625,-10.35546875,1.41015625
4123104,,,,,,,,1.2890625,-1.05078125,-1.42578125,0.12109375,0.20703125,0.345703125,0.8203125,-10.31640625,1.18359375
4123105,,,,,,,,1.14453125,-0.9375,-1.78125,0.072265625,0.2734375,0.330078125,0.62890625,-10.20703125,0.8359375
4123106,,,,,,,,1.12890625,-0.8671875,-1.81640625,0.0390625,0.27734375,0.322265625,0.58984375,-10.12890625,0.80078125
4123107,,,,,,,,1.03515625,-0.71484375,-1.80859375,-0.009765625,0.259765625,0.306640625,0.47265625,-9.97265625,0.80078125
4123108,,,,,,,,0.84765625,-0.90625,-1.80078125,-0.060546875,0.271484375,0.298828125,0.24609375,-10.16796875,0.80078125
4123109,,,,,,,,0.41796875,-1.48046875,-1.44140625,-0.09375,0.3046875,0.28515625,-0.21484375,-10.73828125,1.14453125
4123110,36.01251183333333,129.31925133333334,58.7173374569577,12.40913696268629,0.9,322.0,,0.00390625,-1.59765625,-1.00390625,0.1953125,0.1328125,0.3125,0.703125,-9.40234375,1.640625
4123111,,,,,,,,-0.34765625,-1.7421875,-0.62890625,-0.205078125,0.375,0.208984375,-1.05859375,-11.01171875,1.91015625
4123112,,,,,,,,-0.41015625,-1.3203125,0.046875,-0.279296875,0.400390625,0.18359375,-1.13671875,-10.5859375,2.5625
4123113,,,,,,,,0.04296875,-0.5,0.50390625,-0.40625,0.419921875,0.169921875,-0.71484375,-9.78125,2.98046875
4123114,,,,,,,,0.52734375,-0.37109375,0.359375,-0.484375,0.443359375,0.138671875,-0.25390625,-9.66796875,2.7890625
4123115,,,,,,,,0.91796875,-1.12890625,0.109375,-0.5078125,0.484375,0.109375,0.12890625,-10.43359375,2.484375
4123116,,,,,,,,0.78125,-1.96484375,0.36328125,-0.525390625,0.484375,0.109375,-0.0234375,-11.2734375,2.71484375
4123117,,,,,,,,0.078125,-2.33984375,1.23046875,-0.5625,0.43359375,0.09765625,-0.75,-11.66015625,3.51953125
4123118,,,,,,,,-1.82421875,-1.85546875,3.19921875,-0.46875,0.388671875,0.083984375,-2.66796875,-11.19921875,5.43359375
4123119,,,,,,,,-2.703125,-1.34765625,3.73828125,-0.3828125,0.3515625,0.076171875,-3.546875,-10.69921875,5.93359375
4123120,36.01251233333333,129.3192505,58.6422125522198,12.464616077887499,0.9,317.0,,-2.7265625,-0.5390625,3.25390625,-0.533203125,0.234375,0.052734375,-3.5859375,-9.8984375,5.39453125
4123121,,,,,,,,-1.1484375,0.828125,1.44140625,-0.857421875,0.13671875,-0.013671875,-2.015625,-8.5546875,3.48046875
4123122,,,,,,,,-0.765625,1.03515625,1.25,-0.833984375,0.173828125,-0.041015625,-1.6328125,-8.359375,3.25
4123123,,,,,,,,0.15234375,0.359375,1.4453125,-0.583984375,0.240234375,-0.091796875,-0.71484375,-9.05859375,3.3671875
4123124,,,,,,,,0.25390625,-0.015625,1.58203125,-0.421875,0.203125,-0.08984375,-0.59765625,-9.44140625,3.48046875
4123125,,,,,,,,0.29296875,-0.58984375,1.8828125,-0.19921875,-0.046875,-0.076171875,-0.55859375,-10.0078125,3.75
4123126,,,,,,,,0.046875,-0.8515625,1.8203125,-0.12890625,-0.29296875,-0.0546875,-0.7890625,-10.28515625,3.671875
4123127,,,,,,,,-0.20703125,-0.796875,1.58984375,-0.203125,0.001953125,-0.046875,-1.01953125,-10.2421875,3.40234375
4123128,,,,,,,,-0.28515625,-0.8359375,1.5625,-0.203125,0.064453125,-0.056640625,-1.09765625,-10.28515625,3.3671875
4123129,,,,,,,,-0.33203125,-0.75,1.5390625,-0.189453125,0.095703125,-0.083984375,-1.13671875,-10.20703125,3.328125
4123130,36.012513,129.31924949999998,58.55206261376262,12.538588297628941,0.9,316.0,,-0.375,-0.62890625,1.546875,-0.533203125,0.234375,0.052734375,-3.5859375,-9.8984375,5.39453125
4123131,,,,,,,,-0.23828125,-0.05078125,1.29296875,-0.130859375,0.0078125,-0.13671875,-1.01953125,-9.5078125,3.05859375
4123132,,,,,,,,-0.1328125,0.3671875,1.03125,-0.09375,-0.001953125,-0.166015625,-0.90625,-9.09765625,2.7890625
4123133,,,,,,,,-0.109375,1.1796875,0.65625,-0.0546875,0.00390625,-0.189453125,-0.8671875,-8.29296875,2.40625
4123134,,,,,,,,-0.015625,1.6484375,0.390625,0.005859375,0.001953125,-0.208984375,-0.75,-7.828125,2.140625
4123135,,,,,,,,0.02734375,1.80078125,0.34375,0.1640625,0.01953125,-0.220703125,-0.67578125,-7.671875,2.1015625
4123136,,,,,,,,0.09765625,1.87890625,0.22265625,0.2109375,0.033203125,-0.220703125,-0.59765625,-7.59375,1.98828125
4123137,,,,,,,,0.1328125,1.87109375,-0.00390625,0.263671875,0.083984375,-0.193359375,-0.5234375,-7.59765625,1.79296875
