time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
4136800,36.01250733333333,129.3192485,58.46191735541289,11.909818712988372,1.2000000000000002,317.0,0.0,-0.3046875,-2.09375,1.71875,-0.98828125,0.48046875,0.095703125,0.359375,-9.7421875,0.9140625
4136801,,,,,,,,-0.17578125,-0.4375,0.97265625,-0.154296875,0.224609375,-0.19921875,-0.63671875,-9.78515625,3.40234375
4136802,,,,,,,,0.0859375,1.02734375,0.125,-0.423828125,0.279296875,-0.25,-0.3671875,-8.32421875,2.5234375
4136803,,,,,,,,0.21484375,1.8828125,-0.36328125,-0.515625,0.25390625,-0.3203125,-0.21484375,-7.484375,1.98828125
4136804,,,,,,,,0.2421875,2.20703125,-0.5703125,-0.1796875,0.23046875,-0.404296875,-0.140625,-7.171875,1.71875
4136805,,,,,,,,0.2109375,2.2890625,-0.6484375,0.07421875,0.197265625,-0.419921875,-0.140625,-7.10546875,1.640625
4136806,,,,,,,,0.13671875,2.4453125,-0.73046875,0.2109375,0.220703125,-0.396484375,-0.17578125,-6.94921875,1.56640625
4136807,,,,,,,,-0.05078125,2.7890625,-0.91015625,0.1796875,0.330078125,-0.36328125,-0.33203125,-6.60546875,1.41015625
4136808,,,,,,,,-0.33984375,3.0546875,-1.03125,0.09375,0.3984375,-0.3359375,-0.59765625,-6.3359375,1.296875
4136809,,,,,,,,-0.546875,3.171875,-1.14453125,-0.001953125,0.439453125,-0.33203125,-0.7890625,-6.21875,1.18359375
4136810,36.012508000000004,129.31924766666668,58.38679232544468,11.98379103650985,1.1,317.0,,-0.72265625,3.32421875,-1.21484375,-0.98828125,0.48046875,0.095703125,0.359375,-9.7421875,0.9140625
4136811,,,,,,,,-1.0546875,3.59375,-1.51953125,0.015625,0.365234375,-0.37890625,-1.25,-5.80078125,0.80078125
4136812,,,,,,,,-1.125,3.8671875,-1.72265625,0.08984375,0.328125,-0.412109375,-1.2890625,-5.53515625,0.60546875
4136813,,,,,,,,-1.140625,3.8984375,-1.765625,0.12109375,0.3203125,-0.423828125,-1.2890625,-5.49609375,0.5703125
4136814,,,,,,,,-1.1015625,3.77734375,-1.73828125,0.18359375,0.326171875,-0.427734375,-1.2109375,-5.60546875,0.60546875
4136815,,,,,,,,-1.109375,3.35546875,-1.72265625,0.2578125,0.34375,-0.412109375,-1.171875,-6.0234375,0.64453125
4136816,,,,,,,,-1.01953125,2.6875,-1.515625,0.28125,0.330078125,-0.380859375,-1.05859375,-6.68359375,0.875
4136817,,,,,,,,-1.00390625,2.3046875,-1.35546875,0.29296875,0.2890625,-0.34765625,-1.01953125,-7.06640625,1.06640625
4136818,,,,,,,,-1.09765625,1.953125,-1.36328125,0.28125,0.25,-0.326171875,-1.09765625,-7.41015625,1.06640625
4136819,,,,,,,,-1.1953125,1.453125,-1.38671875,0.2578125,0.17578125,-0.275390625,-1.171875,-7.91015625,1.06640625
4136820,36.012509,129.31924650000002,58.28161723557228,12.094749569490311,1.4000000000000001,316.0,,-1.2109375,1.09375,-1.44140625,0.228515625,0.126953125,-0.232421875,-1.171875,-8.25390625,1.02734375
4136821,,,,,,,,-1.01171875,0.20703125,-1.34765625,0.14453125,0.07421875,-0.18359375,-0.94140625,-9.125,1.14453125
4136822,,,,,,,,-1.01171875,-0.17578125,-1.203125,0.12109375,0.0546875,-0.17578125,-0.94140625,-9.51171875,1.296875
4136823,,,,,,,,-1.02734375,-1.265625,-0.67578125,0.14453125,0.041015625,-0.150390625,-0.94140625,-10.5859375,1.83203125
4136824,,,,,,,,-0.9765625,-1.80859375,-0.16015625,0.23046875,-0.001953125,-0.125,-0.8671875,-11.1171875,2.37109375
4136825,,,,,,,,-0.79296875,-1.6171875,-0.4921875,0.22265625,-0.099609375,-0.115234375,-0.67578125,-10.9296875,2.0625
4136826,,,,,,,,-0.72265625,-1.12890625,-0.69140625,0.1953125,-0.16015625,-0.103515625,-0.59765625,-10.43359375,1.87109375
