time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,prediction
2434500,36.01295267,129.3188027,18.27018546,61.32348992,0,65535,0,0.8671875,-0.77734375,-1.1640625,0.193359375,0.126953125,0.05859375,0.2578125,-9.61328125,1.546875,
2434501,,,,,,,,0.71484375,-0.81640625,-1.1953125,-0.1171875,0.09765625,0.04296875,0.10546875,-9.65234375,1.5078125,
2434502,,,,,,,,0.63671875,-0.77734375,-1.1328125,-0.19921875,0.078125,0.0078125,0.02734375,-9.61328125,1.546875,
2434503,,,,,,,,0.5546875,-0.72265625,-1.15625,-0.25,0.060546875,-0.005859375,-0.046875,-9.5703125,1.5078125,
2434504,,,,,,,,0.515625,-0.75390625,-1.0546875,-0.2890625,0.029296875,-0.01953125,-0.125,-9.609375,1.66015625,
2434505,,,,,,,,0.34765625,-0.77734375,-0.75,-0.3203125,0.005859375,-0.02734375,-0.23828125,-9.6484375,1.8515625,
2434506,,,,,,,,0.22265625,-0.59765625,-0.625,-0.337890625,-0.013671875,-0.02734375,-0.35546875,-9.4921875,1.9296875,
2434507,,,,,,,,0.17578125,-0.5546875,-0.6640625,-0.330078125,-0.017578125,-0.01953125,-0.39453125,-9.46484375,1.8515625,
2434508,,,,,,,,0.16796875,-0.46875,-0.66796875,-0.298828125,-0.0234375,-0.02734375,-0.39453125,-9.3828125,1.81640625,
2434509,,,,,,,,0.125,-0.375,-0.5703125,-0.263671875,-0.033203125,-0.0390625,-0.4296875,-9.3046875,1.890625,
2434510,36.01295267,129.3188027,18.27018546,61.32348992,0,65535,,0.15234375,-0.4375,-0.4296875,-0.244140625,-0.04296875,-0.041015625,-0.39453125,-9.38671875,2.0078125,
2434511,,,,,,,,0.26171875,-0.4765625,-0.37890625,-0.21484375,-0.048828125,-0.037109375,-0.27734375,-9.421875,2.04296875,
2434512,,,,,,,,0.3359375,-0.421875,-0.28515625,-0.1875,-0.05078125,-0.029296875,-0.203125,-9.38671875,2.12109375,
2434513,,,,,,,,0.24609375,-0.390625,-0.30859375,-0.095703125,-0.052734375,0.005859375,-0.27734375,-9.34765625,2.08203125,
2434514,,,,,,,,0.3203125,-0.3828125,-0.453125,-0.01171875,-0.048828125,0.03515625,-0.203125,-9.34375,1.9296875,
2434515,,,,,,,,0.3203125,-0.34375,-0.33984375,0.021484375,-0.05078125,0.041015625,-0.203125,-9.3046875,2.04296875,
2434516,,,,,,,,0.24609375,-0.3359375,-0.18359375,0.0234375,-0.052734375,0.029296875,-0.27734375,-9.30859375,2.19921875,
2434517,,,,,,,,0.19921875,-0.3359375,-0.1171875,0.064453125,-0.05859375,0.03125,-0.35546875,-9.30859375,2.12109375,
2434518,,,,,,,,0.23828125,-0.375,-0.35546875,0.099609375,-0.04296875,0.052734375,-0.1640625,-9.34375,1.9296875,
2434519,,,,,,,,0.3515625,-0.375,-0.46875,0.123046875,-0.03515625,0.064453125,-0.01171875,-9.4609375,1.96875,
2434520,36.01295267,129.3188028,18.28521029,61.32348995,0.1,65535,,0.15234375,-0.4375,-0.4296875,-0.244140625,-0.04296875,-0.041015625,0.296875,-9.53125,1.9296875,
2434521,,,,,,,,0.8125,-0.57421875,-0.453125,0.203125,-0.01953125,0.08203125,0.296875,-9.53515625,2.04296875,
2434522,,,,,,,,0.703125,-0.453125,-0.31640625,0.2265625,-0.025390625,0.078125,0.1796875,-9.34375,2.12109375,
2434523,,,,,,,,0.66796875,-0.34375,-0.33203125,0.203125,-0.021484375,0.06640625,0.10546875,-9.2265625,2.08203125,
2434524,,,,,,,,0.703125,-0.15234375,-0.44140625,0.1640625,-0.005859375,0.064453125,0.21875,-9.07421875,1.96875,
2434525,,,,,,,,0.7421875,-0.12109375,-0.67578125,0.16015625,-0.009765625,0.078125,0.296875,-9.11328125,1.77734375,
2434526,,,,,,,,0.828125,-0.16015625,-0.72265625,0.166015625,-0.013671875,0.083984375,0.2578125,-9.109375,1.77734375,
