time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
2381700,36.0129505,129.31879650000002,17.714267475532452,61.083077091211386,0.0,65535.0,0.0,0.05859375,0.09375,-0.00390625,-0.046875,0.046875,-0.025390625,0.02734375,-9.5078125,1.54296875
2381701,,,,,,,,-0.05859375,0.09375,-0.02734375,-0.099609375,0.017578125,-0.0546875,-0.01171875,-9.51171875,1.54296875
2381702,,,,,,,,-0.140625,0.09375,0.13671875,-0.099609375,0.009765625,-0.056640625,-0.0859375,-9.51171875,1.69921875
2381703,,,,,,,,-0.12109375,0.0546875,0.14453125,-0.10546875,0.015625,-0.052734375,-0.05078125,-9.546875,1.69921875
2381704,,,,,,,,-0.12109375,0.09375,0.12109375,-0.1171875,0.017578125,-0.05078125,-0.05078125,-9.5078125,1.66015625
2381705,,,,,,,,-0.12890625,0.0546875,0.12890625,-0.119140625,0.015625,-0.05078125,-0.05078125,-9.55078125,1.66015625
2381706,,,,,,,,-0.1640625,0.09375,0.16796875,-0.111328125,0.01953125,-0.04296875,-0.0859375,-9.51171875,1.69921875
2381707,,,,,,,,-0.203125,0.01953125,0.18359375,-0.111328125,0.02734375,-0.05078125,-0.125,-9.578125,1.69921875
2381708,,,,,,,,-0.13671875,0.0546875,0.265625,-0.126953125,0.02734375,-0.052734375,-0.05078125,-9.546875,1.7734375
2381709,,,,,,,,-0.12890625,0.0546875,0.234375,-0.126953125,0.021484375,-0.056640625,-0.05078125,-9.546875,1.734375
2381710,36.012950333333336,129.31879650000002,17.714267512537077,61.064583884221236,0.0,65535.0,,-0.1640625,0.0546875,0.2421875,-0.12109375,0.015625,-0.052734375,-0.0859375,-9.546875,1.734375
2381711,,,,,,,,-0.203125,0.046875,0.2421875,-0.119140625,0.01171875,-0.064453125,-0.125,-9.546875,1.734375
2381712,,,,,,,,-0.2109375,0.01953125,0.3203125,-0.119140625,0.01171875,-0.05859375,-0.125,-9.58203125,1.8125
2381713,,,,,,,,-0.171875,0.01953125,0.2890625,-0.130859375,0.009765625,-0.07421875,-0.0859375,-9.578125,1.7734375
2381714,,,,,,,,-0.171875,0.01953125,0.296875,-0.134765625,0.01171875,-0.0703125,-0.0859375,-9.578125,1.7734375
2381715,,,,,,,,-0.13671875,0.0546875,0.2578125,-0.130859375,0.0,-0.0703125,-0.05078125,-9.546875,1.734375
2381716,,,,,,,,-0.13671875,0.09375,0.3046875,-0.13671875,-0.00390625,-0.0625,-0.05078125,-9.51171875,1.7734375
2381717,,,,,,,,-0.21875,0.1640625,0.2734375,-0.13671875,-0.013671875,-0.05859375,-0.125,-9.4296875,1.734375
2381718,,,,,,,,-0.2109375,0.171875,0.3125,-0.142578125,-0.0078125,-0.0625,-0.125,-9.4296875,1.7734375
2381719,,,,,,,,-0.14453125,0.09375,0.2734375,-0.138671875,-0.013671875,-0.052734375,-0.05078125,-9.51171875,1.734375
2381720,36.012950333333336,129.31879650000002,17.714267512537077,61.064583884221236,0.0,65535.0,,-0.13671875,0.125,0.24609375,-0.12109375,0.015625,-0.052734375,-0.0859375,-9.546875,1.734375
2381721,,,,,,,,-0.13671875,0.0859375,0.20703125,-0.123046875,-0.021484375,-0.044921875,-0.05078125,-9.5078125,1.66015625
2381722,,,,,,,,-0.12890625,0.046875,0.20703125,-0.12109375,-0.0234375,-0.041015625,-0.05078125,-9.55078125,1.66015625
